dataset,family,size_bucket,series,cells,gmean_gib_per_s,gmean_speedup_vs_main,gmean_speedup_vs_noncooperative
c32,even,large,smem_cooperative_dynamic,630,3868.3929499262654,2.4569931547230097,0.9996401113179526
c32,even,large,smem_cooperative_static,540,4285.315889408992,2.4773309367836296,0.9994145800939956
c32,even,large,smem_dynamic,630,3869.785641980769,2.457877717095249,nan
c32,even,large,smem_static,540,4287.826068142769,2.478782065147213,nan
c32,even,small,smem_cooperative_dynamic,420,1157.3863985520804,1.6366924109906862,0.963593945602614
c32,even,small,smem_cooperative_static,360,1212.9920003177406,1.6188626875318168,0.9647866275134003
c32,even,small,smem_dynamic,420,1201.114228492037,1.6985291558335072,nan
c32,even,small,smem_static,360,1257.2645243270572,1.6779489281523359,nan
c32,multi_even,large,smem_cooperative_dynamic,210,2662.638326129622,1.9576218929003928,0.9997909460900958
c32,multi_even,large,smem_cooperative_static,180,3677.133388238242,2.4972688484597256,0.9996809119352371
c32,multi_even,large,smem_dynamic,210,2663.1950774734055,1.9580312269841085,nan
c32,multi_even,large,smem_static,180,3678.307092129876,2.4980659514898367,nan
c32,multi_even,small,smem_cooperative_dynamic,420,1471.105060063924,1.5661870913938623,0.9839253511992946
c32,multi_even,small,smem_cooperative_static,360,1754.2688379994897,1.7485363072002402,0.9812420556466748
c32,multi_even,small,smem_dynamic,420,1495.1388926718998,1.5917743043055612,nan
c32,multi_even,small,smem_static,360,1787.804372941762,1.781962256038741,nan
c32,multi_range,large,smem_cooperative_dynamic,210,1162.092017046338,1.1778436078555528,0.999403054387035
c32,multi_range,large,smem_cooperative_static,180,1112.7497918137658,1.0545971008761033,0.9982081086161957
c32,multi_range,large,smem_dynamic,210,1162.7861371297133,1.178547136398298,nan
c32,multi_range,large,smem_static,180,1114.7472978919768,1.0564902165922885,nan
c32,multi_range,small,smem_cooperative_dynamic,420,714.4342419320355,1.000817709278079,0.9861388735016954
c32,multi_range,small,smem_cooperative_static,360,711.6492976045905,0.9278967649366056,0.9077493708655798
c32,multi_range,small,smem_dynamic,420,724.4762995653341,1.0148851608742087,nan
c32,multi_range,small,smem_static,360,783.9711273233952,1.0221948862953374,nan
c32,range,large,smem_cooperative_dynamic,630,1167.6770825417966,1.167962973064955,0.9995701251579518
c32,range,large,smem_cooperative_static,540,1170.220541957082,1.086273570162916,1.005151428403623
c32,range,large,smem_dynamic,630,1168.1792534138415,1.1684652668869968,nan
c32,range,large,smem_static,540,1164.2231298577772,1.0807063885768247,nan
c32,range,small,smem_cooperative_dynamic,420,533.876656260791,1.0705099375670275,0.9560230478806273
c32,range,small,smem_cooperative_static,360,568.8235535291776,1.065615697193189,0.9685684679923549
c32,range,small,smem_dynamic,420,558.4349220913898,1.1197532736686653,nan
c32,range,small,smem_static,360,587.2827500860451,1.1001965606024664,nan
u64,even,large,smem_cooperative_dynamic,630,3863.5602032559505,2.454038788954805,0.9995857420495019
u64,even,large,smem_cooperative_static,540,4278.021860149113,2.4731729972871452,0.9995500479248535
u64,even,large,smem_dynamic,630,3865.1613770863614,2.4550558153452284,nan
u64,even,large,smem_static,540,4279.947631467401,2.474286307545732,nan
u64,even,small,smem_cooperative_dynamic,420,1158.2484470277855,1.638926396348736,0.9635043432675383
u64,even,small,smem_cooperative_static,360,1212.674616098345,1.6189686269865582,0.9648920967290177
u64,even,small,smem_dynamic,420,1202.1206288492801,1.7010057170999715,nan
u64,even,small,smem_static,360,1256.7981644883496,1.6778753111097695,nan
u64,multi_even,large,smem_cooperative_dynamic,630,2678.3032322748604,1.963205403379876,0.9999432506177891
u64,multi_even,large,smem_cooperative_static,540,3705.5640062711836,2.50887302340603,1.0001071356854943
u64,multi_even,large,smem_dynamic,630,2678.4552329546095,1.963316820396518,nan
u64,multi_even,large,smem_static,540,3705.167050659342,2.5086042623687472,nan
u64,multi_even,small,smem_cooperative_dynamic,420,1469.5817929284378,1.5649224861487985,0.9847521906938077
u64,multi_even,small,smem_cooperative_static,360,1751.251149803396,1.7459915019171126,0.9813845662419421
u64,multi_even,small,smem_dynamic,420,1492.3366577057752,1.58915359715649,nan
u64,multi_even,small,smem_static,360,1784.469829711646,1.779110413976768,nan
u64,multi_range,large,smem_cooperative_dynamic,630,1162.9691184942385,1.1748145626523696,0.9999199611591516
u64,multi_range,large,smem_cooperative_static,540,1123.7963851070808,1.0614453137532993,1.0020678004194543
u64,multi_range,large,smem_dynamic,630,1163.0622086452527,1.1749086009748944,nan
u64,multi_range,large,smem_static,540,1121.4773936820172,1.059254985849251,nan
u64,multi_range,small,smem_cooperative_dynamic,420,714.1668098703583,1.00045109244168,0.9839966098216096
u64,multi_range,small,smem_cooperative_static,360,712.4995706757884,0.9290194319646787,0.9068299674546241
u64,multi_range,small,smem_dynamic,420,725.7817788618502,1.0167220927956788,nan
u64,multi_range,small,smem_static,360,785.7036007264956,1.0244692669038475,nan
u64,range,large,smem_cooperative_dynamic,630,1165.66374399884,1.165976801519719,1.0009452714502693
u64,range,large,smem_cooperative_static,540,1174.0659563041777,1.0898817901052769,1.0064554415094755
u64,range,large,smem_dynamic,630,1164.5629159223754,1.1648756777983829,nan
u64,range,large,smem_static,540,1166.5354549063013,1.0828912489863227,nan
u64,range,small,smem_cooperative_dynamic,420,536.2994632560236,1.0753331042947314,0.9622823277743616
u64,range,small,smem_cooperative_static,360,568.3742530716751,1.0647595507914414,0.9658566953332183
u64,range,small,smem_dynamic,420,557.3202871722867,1.1174819211133618,nan
u64,range,small,smem_static,360,588.4664420901361,1.102399099096271,nan
