dataset,family,series,sample,elements,size_bucket,bins,shape,gib_per_s,speedup_vs_main,speedup_vs_noncooperative
c32,even,main,I32,1048576,small,8,concentrated:1.0,203.6548929837964,1.0,
c32,even,main,I32,1048576,small,8,concentrated:0.75,197.89278057069308,1.0,
c32,even,main,I32,1048576,small,8,concentrated:0.5,203.42863316273508,1.0,
c32,even,main,I32,1048576,small,8,concentrated:0.25,212.5888318104856,1.0,
c32,even,main,I32,1048576,small,8,concentrated:0.0,222.3024306939743,1.0,
c32,even,main,I32,1048576,small,8,powerlaw:0.75,197.30024861596735,1.0,
c32,even,main,I32,1048576,small,8,powerlaw:0.25,196.68485192044764,1.0,
c32,even,main,I32,1048576,small,8,hash_synonym,206.90237321815198,1.0,
c32,even,main,I32,1048576,small,8,stale_resident:0.5,194.37390161062103,1.0,
c32,even,main,I32,1048576,small,8,stale_resident:0.25,197.77067219458624,1.0,
c32,even,main,I32,1048576,small,8,temporal_phases:0.10,222.88696462142894,1.0,
c32,even,main,I32,1048576,small,8,strided_sweep,202.7450652698526,1.0,
c32,even,main,I32,1048576,small,8,sawtooth,202.16199422388587,1.0,
c32,even,main,I32,1048576,small,8,poison,225.4184730200522,1.0,
c32,even,main,I32,1048576,small,8,sawtooth:8192:2654435761:1,205.05307816888669,1.0,
c32,even,main,I32,1048576,small,16,concentrated:1.0,204.3184968243275,1.0,
c32,even,main,I32,1048576,small,16,concentrated:0.75,198.46865048169437,1.0,
c32,even,main,I32,1048576,small,16,concentrated:0.5,211.57636669275863,1.0,
c32,even,main,I32,1048576,small,16,concentrated:0.25,212.56463520909446,1.0,
c32,even,main,I32,1048576,small,16,concentrated:0.0,222.24721181318304,1.0,
c32,even,main,I32,1048576,small,16,powerlaw:0.75,202.7851461942893,1.0,
c32,even,main,I32,1048576,small,16,powerlaw:0.25,218.97045577487162,1.0,
c32,even,main,I32,1048576,small,16,hash_synonym,212.3601932632928,1.0,
c32,even,main,I32,1048576,small,16,stale_resident:0.5,198.70589884092777,1.0,
c32,even,main,I32,1048576,small,16,stale_resident:0.25,197.9246834392731,1.0,
c32,even,main,I32,1048576,small,16,temporal_phases:0.10,222.52503775340836,1.0,
c32,even,main,I32,1048576,small,16,strided_sweep,194.61763896919103,1.0,
c32,even,main,I32,1048576,small,16,sawtooth,199.1643297211228,1.0,
c32,even,main,I32,1048576,small,16,poison,226.41281529817215,1.0,
c32,even,main,I32,1048576,small,16,sawtooth:8192:2654435761:1,198.99407126340486,1.0,
c32,even,main,I32,1048576,small,32,concentrated:1.0,211.46203144727983,1.0,
c32,even,main,I32,1048576,small,32,concentrated:0.75,201.94954928425364,1.0,
c32,even,main,I32,1048576,small,32,concentrated:0.5,215.81434778744057,1.0,
c32,even,main,I32,1048576,small,32,concentrated:0.25,212.63529016764764,1.0,
c32,even,main,I32,1048576,small,32,concentrated:0.0,222.4414925894694,1.0,
c32,even,main,I32,1048576,small,32,powerlaw:0.75,202.84558943828475,1.0,
c32,even,main,I32,1048576,small,32,powerlaw:0.25,218.6954390238142,1.0,
c32,even,main,I32,1048576,small,32,hash_synonym,212.48370307605563,1.0,
c32,even,main,I32,1048576,small,32,stale_resident:0.5,200.17469704517478,1.0,
c32,even,main,I32,1048576,small,32,stale_resident:0.25,201.6951269469247,1.0,
c32,even,main,I32,1048576,small,32,temporal_phases:0.10,222.8775823724743,1.0,
c32,even,main,I32,1048576,small,32,strided_sweep,212.44393751189594,1.0,
