dataset,family,series,comparison,rank,ratio,sample,elements,bins,shape
c32,even,smem_static,speedup_vs_main,1,0.9130606334250785,F64,67108864,256,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,2,0.9143415857293571,F64,67108864,128,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,3,0.9163680467077608,F64,67108864,64,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,4,0.9203560676159384,F64,67108864,32,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,5,0.9209211917755563,F64,67108864,16,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,6,0.9222505360951895,F64,1073741824,256,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,7,0.9223654864802092,F64,2000000000,256,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,8,0.9233178822292853,F64,268435456,256,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,9,0.9237575956049373,F64,1073741824,128,temporal_phases:0.10
c32,even,smem_static,speedup_vs_main,10,0.9237937858700328,F64,2000000000,128,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,1,0.906755276147617,F64,67108864,256,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,2,0.9075699374100571,F64,67108864,128,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,3,0.9082307412809145,F64,67108864,64,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,4,0.9110089872238094,F64,16777216,256,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,5,0.9121856236770829,F64,16777216,128,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,6,0.9137962913127134,F64,16777216,64,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,7,0.9138750967082201,F64,67108864,32,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,8,0.9170533792160219,F64,67108864,16,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,9,0.9188784338042131,F64,16777216,32,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_main,10,0.9211815507968817,F64,1048576,256,temporal_phases:0.10
c32,even,smem_cooperative_static,speedup_vs_noncooperative,1,0.8611255014530111,F64,1048576,16,powerlaw:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,2,0.8648113045204807,F64,1048576,8,concentrated:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,3,0.86563811893721,F64,1048576,16,concentrated:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,4,0.867533521252521,F64,1048576,8,powerlaw:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,5,0.8682198389782578,F64,1048576,128,concentrated:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,6,0.8764835280875728,F64,1048576,256,powerlaw:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,7,0.8801908222619059,F64,1048576,128,concentrated:0.25
c32,even,smem_cooperative_static,speedup_vs_noncooperative,8,0.8806100956707682,F64,1048576,32,powerlaw:0.75
c32,even,smem_cooperative_static,speedup_vs_noncooperative,9,0.8819587023918986,F64,1048576,8,concentrated:0.25
c32,even,smem_cooperative_static,speedup_vs_noncooperative,10,0.8835913628391887,F64,1048576,256,concentrated:0.75
c32,even,smem_dynamic,speedup_vs_main,1,0.8232533582572845,F64,67108864,128,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,2,0.8235792866533346,F64,67108864,256,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,3,0.8250235340500587,F64,67108864,64,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,4,0.8258691165955051,F64,1073741824,128,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,5,0.8259938950346527,F64,2000000000,256,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,6,0.8260516752978119,F64,1073741824,256,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,7,0.8260671161190283,F64,2000000000,128,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,8,0.8276375090183532,F64,268435456,256,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,9,0.82764130379292,F64,2000000000,64,temporal_phases:0.10
c32,even,smem_dynamic,speedup_vs_main,10,0.8277398121406976,F64,268435456,128,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,1,0.8205186852884766,F64,67108864,256,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,2,0.8206022384871509,F64,67108864,128,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,3,0.8212725087924333,F64,67108864,64,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,4,0.8230597195454872,F64,67108864,32,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,5,0.8235652688260902,F64,67108864,16,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,6,0.8258940224007398,F64,1073741824,128,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,7,0.8259737082884816,F64,2000000000,128,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,8,0.8260180562235281,F64,1073741824,256,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,9,0.8260405989176688,F64,2000000000,256,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_main,10,0.8268876528803759,F64,67108864,8,temporal_phases:0.10
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,1,0.8765298382460778,F64,1048576,8,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,2,0.8767000278292041,F64,1048576,512,stale_resident:0.25
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,3,0.877510288941607,F64,1048576,16,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,4,0.8799981752994365,F64,1048576,512,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,5,0.8861835850279366,F64,1048576,256,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,6,0.8865542291094562,F64,1048576,8,stale_resident:0.25
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,7,0.8908076158069607,F64,1048576,256,powerlaw:0.75
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,8,0.8928386393743829,F64,1048576,64,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,9,0.899107180456469,F64,1048576,16,stale_resident:0.25
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,10,0.902542910218298,F64,1048576,32,poison
c32,range,smem_static,speedup_vs_main,1,0.797226577742229,I32,1073741824,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,2,0.7976469429904349,I32,2000000000,8,temporal_phases:0.10
